cell,x,y,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hemlock,Hickory,Maple,Oak,Other.hardwoods,Pine,Poplar,Spruce,Tamarack,Tulip.poplar,Walnut,Total
3287,173000,1406000,0.377351589,0.061864389,0,0.115900472,0.815085487,0,0.017168408,0.132255263,0,0,0.059422638,0.069986239,0,0.331921825,0.792564506,0.27932207,0.326397329,0,0,1.072903924
3564,21000,1398000,0.361962918,0,0,0.070418836,0,0,0.133738404,0.074199033,0,0,0.502486988,1.907319156,0,0,1.277327309,0.104700478,0.081311243,0,0,1.733941308
3565,29000,1398000,0.318768247,0.297720238,0,0.071363345,0,0,0.113872053,0.074579401,0,0,0.390480126,1.698660866,0,0,1.188215693,0.106659359,0.083851614,0,0,1.61154721
3566,37000,1398000,0.298825875,0.254058102,0,0.073446748,0,0,0.099160585,0.076550907,0,0,0.30847429,1.570065829,0,0,1.132723842,0.110823712,0.089622922,0,0,1.503696418
3567,45000,1398000,0.296858402,0.224186153,0,0.076640427,0,0,0.088038807,0.080258317,0,0,0.248941931,1.481994453,0,0,1.104586603,0.116562282,0.098984836,0,0,1.412381592
3568,53000,1398000,0.289898641,0.196547654,0,0.078882433,0,0,0.076685019,0.083717781,0,0,0.201097437,1.289646729,0,0,1.05081076,0.120023885,0.108468992,0,0,1.338458997
3569,61000,1398000,0.290318754,0.17686457,0,0.083079379,0.108753793,0,0.067566201,0.088417408,0,0,0.166552633,1.118213736,0,0.198535489,1.013473283,0.124753903,0.121746751,0,0,1.279713442
3570,69000,1398000,0.293379467,0.162292462,0,0.089484273,0.120139926,0,0.060325418,0.094349349,0,0,0.141622976,0.954836314,0,0.223389903,0.991758336,0.131712628,0.140838604,0,0,1.233972075
3571,77000,1398000,0.284376774,0.148173556,0,0.096136092,0.135670778,0,0.05354714,0.099946106,0,0,0.121783272,0.757018079,0,0.250559463,0.954880241,0.139356266,0.163178223,0,0,1.196898037
3572,85000,1398000,0.263384722,0.135032399,0,0.102637863,0.155805398,0,0.047205074,0.104861651,0,0,0.105594423,0.559941491,0,0.284134801,0.900768531,0.147386345,0.185874511,0,0,1.164793225
3573,93000,1398000,0.244231399,0.124450328,0,0.111106918,0.187382088,0,0.041926134,0.111018018,0,0,0.092986829,0.411860256,0,0.340885699,0.853588592,0.157506119,0.21190677,0,0,1.133242531
3574,101000,1398000,0.220052674,0.112637187,0,0.118071287,0.22383115,0,0.036753081,0.115372338,0,0,0.081823125,0.297120456,0,0.399069192,0.780357742,0.164712705,0.229210422,0,0,1.097321479
3575,109000,1398000,0.206002163,0.104078397,0,0.126506793,0.275842453,0,0.032686851,0.121011455,0,0,0.073897264,0.224381108,0,0.472620007,0.729377607,0.174308811,0.248004565,0,0,1.057534189
3576,117000,1398000,0.20295924,0.09782857,0,0.135046827,0.348344058,0,0.02949095,0.126926996,0,0,0.06845761,0.17727588,0,0.553490574,0.700639785,0.186120699,0.269637762,0,0,1.018848431
3577,125000,1398000,0.205100133,0.091231071,0,0.137893049,0.423221236,0,0.026670074,0.128537133,0,0,0.064106087,0.14278615,0,0.589081511,0.671404613,0.194155738,0.281319797,0,0,0.986840666
3578,133000,1398000,0.216051069,0.085415914,0,0.13595895,0.483729624,0,0.024408383,0.127498097,0,0,0.060991957,0.119589087,0,0.57468279,0.655836027,0.200072672,0.287223264,0,0,0.966186341
3579,141000,1398000,0.23218902,0.07974282,0,0.129004244,0.494835404,0,0.022530877,0.123978455,0,0,0.058793629,0.103643915,0,0.504545904,0.647106517,0.202257614,0.28216168,0,0,0.958659427
3580,149000,1398000,0.263694018,0.075983337,0,0.123644131,0.511203112,0,0.021232345,0.123237265,0,0,0.058302678,0.094752174,0,0.443374775,0.667248626,0.209697395,0.2868765,0,0,0.964109428
3581,157000,1398000,0.308703783,0.073778373,0,0.120848027,0.569568397,0,0.020278712,0.125207774,0,0,0.059025415,0.08847389,0,0.399163861,0.704776261,0.224342363,0.302684697,0,0,0.980514312
3582,165000,1398000,0.335758915,0.069879695,0,0.115304439,0.635942087,0,0.019061499,0.123438453,0,0,0.058783639,0.078735295,0,0.341310811,0.708642487,0.235392266,0.303812367,0,0,1.004841007
3583,173000,1398000,0.357793637,0.066519956,0,0.112135156,0.738534309,0,0.017976568,0.122773324,0,0,0.058707467,0.070124995,0,0.298925876,0.709739797,0.250452756,0.306715901,0,0,1.031842335
3584,181000,1398000,0.390975288,0.065375198,0,0.114097751,0.907957008,0,0.017256357,0.126909911,0,0,0.059936692,0.064913774,0,0.280299243,0.730572086,0.276113448,0.323311835,0,0,1.058032071
3585,189000,1398000,0.442732837,0.067017399,0,0.120857885,1.157908091,0,0.016916,0.136757055,0,0,0.063133018,0.063170087,0,0.283453851,0.77802323,0.313775775,0.353714331,0,0,1.08011743
3858,5000,1390000,0.502568534,0,0,0,0,0,0.198528009,0.073114715,0,0,0.883953805,2.473805577,0,0,1.467125762,0.100084735,0.078239765,0,0,1.993274655
3860,21000,1390000,0.37486733,0.382489787,0,0.070264959,0,0,0.145402804,0.073751338,0,0,0.549512709,2.03049721,0,0,1.295388381,0.101046855,0.08070338,0,0,1.724535643
3861,29000,1390000,0.330956726,0.318528047,0,0.071132343,0,0,0.123959487,0.074135704,0,0,0.426717622,1.81595542,0,0,1.209289504,0.102564164,0.083922219,0,0,1.607010307
3862,37000,1390000,0.30879006,0.273994289,0,0.07299792,0,0,0.107826064,0.075850583,0,0,0.33619998,1.670607422,0,0,1.149825315,0.105885222,0.090243836,0,0,1.502705228
3863,45000,1390000,0.302923771,0.242994646,0,0.075877095,0,0,0.095397905,0.079089126,0,0,0.270164206,1.562075182,0,0,1.111967283,0.110493782,0.099943782,0,0,1.413595648
3864,53000,1390000,0.299260726,0.216448626,0,0.07894198,0,0,0.083981853,0.082932298,0,0,0.219118,1.406296862,0,0,1.069082205,0.114637862,0.11143564,0,0,1.340519608
