"x","y","cell","avg_biomass_by_plot","count"
277000,1334000,5964,93.153245545155,4
285000,1334000,5965,29.5965382001409,2
293000,1334000,5966,42.2954536187965,2
301000,1334000,5967,36.5703817331588,3
309000,1334000,5968,54.5747593661698,3
317000,1334000,5969,53.2338204243303,4
325000,1334000,5970,13.3120158038368,2
333000,1334000,5971,25.1807594855646,2
341000,1334000,5972,267.310789217623,1
349000,1334000,5973,54.6505940918666,2
29000,1326000,6229,34.1652927967568,1
53000,1326000,6232,3.0150612098458,1
61000,1326000,6233,2.71156812110921,1
69000,1326000,6234,NA,0
85000,1326000,6236,34.7349050658918,1
93000,1326000,6237,18.5429401826916,1
101000,1326000,6238,33.0072344102435,2
117000,1326000,6240,135.571004657574,1
149000,1326000,6244,42.2996426514356,2
157000,1326000,6245,21.8193698452394,3
165000,1326000,6246,54.6364317719159,4
173000,1326000,6247,63.1952019126233,2
181000,1326000,6248,6.92086170354778,2
189000,1326000,6249,39.6075194651544,3
197000,1326000,6250,43.8812465273534,3
205000,1326000,6251,3.71295353878523,2
213000,1326000,6252,NA,0
221000,1326000,6253,33.6808669423976,2
229000,1326000,6254,23.9036155851805,2
237000,1326000,6255,98.6916367126715,1
245000,1326000,6256,103.820101550169,1
253000,1326000,6257,19.978745467315,3
261000,1326000,6258,64.1197191970053,3
269000,1326000,6259,29.0026599705997,2
277000,1326000,6260,21.207313066537,4
285000,1326000,6261,14.0070924650271,3
293000,1326000,6262,73.1835785743592,4
301000,1326000,6263,10.0190171829769,3
309000,1326000,6264,57.9684497436365,4
317000,1326000,6265,2.02953938959471,1
325000,1326000,6266,57.7846820756979,4
333000,1326000,6267,2.0888727920883,1
341000,1326000,6268,64.42236472851,1
349000,1326000,6269,23.7537745078346,1
357000,1326000,6270,31.9171776164552,1
365000,1326000,6271,27.2676277342241,1
373000,1326000,6272,17.2791892703004,1
437000,1326000,6280,NA,0
53000,1318000,6528,NA,0
61000,1318000,6529,20.1007786332606,1
77000,1318000,6531,8.07851790811825,3
85000,1318000,6532,NA,0
93000,1318000,6533,49.4981661165421,1
101000,1318000,6534,35.305273808124,2
109000,1318000,6535,71.7922518466796,4
117000,1318000,6536,44.6483995663234,3
125000,1318000,6537,58.7375048329238,3
133000,1318000,6538,72.5675048933115,2
141000,1318000,6539,NA,0
149000,1318000,6540,28.305015295767,4
157000,1318000,6541,11.9772518400341,3
165000,1318000,6542,73.6059280008826,2
173000,1318000,6543,35.3857591655697,4
181000,1318000,6544,105.211120027078,2
189000,1318000,6545,57.6909334945186,1
197000,1318000,6546,34.2588728668765,3
205000,1318000,6547,34.2872151072763,3
213000,1318000,6548,40.5988274066841,2
221000,1318000,6549,12.3799818548732,2
229000,1318000,6550,55.9761377494964,3
237000,1318000,6551,35.2666218881767,1
245000,1318000,6552,76.6638805984539,2
253000,1318000,6553,58.688217110298,2
261000,1318000,6554,28.8127642365905,3
269000,1318000,6555,80.2767183210453,3
277000,1318000,6556,2.2817230908251,2
285000,1318000,6557,47.5092352194169,2
293000,1318000,6558,49.6577075620859,2
301000,1318000,6559,30.8457709391225,3
309000,1318000,6560,49.4666961038374,1
317000,1318000,6561,26.643559338392,4
325000,1318000,6562,23.9394563272918,2
333000,1318000,6563,58.8974180063094,1
341000,1318000,6564,24.328778896866,3
349000,1318000,6565,NA,0
357000,1318000,6566,39.1368845567232,3
365000,1318000,6567,21.6591181167677,1
373000,1318000,6568,124.73820495569,1
421000,1318000,6574,66.4999076245053,1
429000,1318000,6575,17.1967537255788,1
437000,1318000,6576,14.3642043905998,1
29000,1310000,6821,NA,0
61000,1310000,6825,95.7498424488972,2
77000,1310000,6827,91.1577761313232,1
85000,1310000,6828,124.530016075956,1
93000,1310000,6829,24.3054547864712,1
101000,1310000,6830,41.0735106336893,1
